start_port,end_port,route_id,location_id,latitude,longitude
AUNTL,INBOM,1,001,-32.9133,151.814
AUNTL,INBOM,1,002,-32.9553,151.838
AUNTL,INBOM,1,003,-32.9597,151.845
AUNTL,INBOM,1,004,-32.94,152.018
AUNTL,INBOM,1,005,-32.8042,152.467
AUNTL,INBOM,1,006,-32.591,152.698
AUNTL,INBOM,1,007,-29.4919,153.741
AUNTL,INBOM,1,008,-28.7541,153.83
AUNTL,INBOM,1,009,-26.9859,153.784
AUNTL,INBOM,1,010,-25.9308,153.734
AUNTL,INBOM,1,011,-24.4889,153.575
AUNTL,INBOM,1,012,-23.4509,152.559
AUNTL,INBOM,1,013,-22.8091,151.918
AUNTL,INBOM,1,014,-22.0314,150.901
AUNTL,INBOM,1,015,-21.0273,149.985
AUNTL,INBOM,1,016,-20.2611,149.312
AUNTL,INBOM,1,017,-20.2561,149.307
AUNTL,INBOM,1,018,-20.1907,149.229
AUNTL,INBOM,1,019,-20.1036,149.152
AUNTL,INBOM,1,020,-19.9653,148.907
